PMID	Node1	Node2	pmid	link	QuerySet
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	OPA1	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	PTPN2	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	cell differentiation/drug effects	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	dopaminergic neurons/drug effects	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	gtp phosphohydrolases/genetics	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	induced pluripotent stem cells/drug effects	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	lysosomes/drug effects	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	membrane potential mitochondrial/drug effects	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	mutation/genetics	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	necrosis	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	neural stem cells/drug effects	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	neuroprotective agents/pharmacology	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
29466734	1-methyl-4-phenyl-1236-tetrahydropyridine	oxidative stress/drug effects	29466734	https://pubmed.ncbi.nlm.nih.gov/29466734	pmid-parkinsond_stem_mitoch-set.txt
