Node1	Node2	P_value	Adj_p_value	Fisher_p_value	zt_pois_cdf	Raw_co_occurrence	Expansion
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	C3	0	0	0.006369427	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	RACGAP1	4.61E-09	1.50E-08	0.01910828	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	adp ribose transferases/pharmacology	0	0	0.006369427	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	amides/pharmacology	0	0	0.006369427	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	botulinum toxins/pharmacology	0	0	0.006369427	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	caspase 3/metabolism	0.000475505	0.000885677	0.063694268	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	myocytes cardiac/drug effects	0	0	0.006369427	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	phosphatidylserines/metabolism	7.80E-05	0.000163042	0.050955414	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	phospholipid transfer proteins/metabolism	0	0	0.006369427	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	pyridines/pharmacology	0	0	0.006369427	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	rho gtp-binding proteins/antagonists & inhibitors	0	0	0.012738854	0.704306703	1	4
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	rho-associated kinases/antagonists & inhibitors	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenyl-1236-tetrahydropyridine	OPA1	8.80E-06	4.20E-05	0.033333333	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	PTPN2	5.52E-05	0.000222049	0.033333333	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	cell differentiation/drug effects	5.10E-09	4.74E-08	0.016666667	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	dopaminergic neurons/drug effects	5.10E-09	4.74E-08	0.016666667	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	gtp phosphohydrolases/genetics	8.80E-06	4.20E-05	0.033333333	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	induced pluripotent stem cells/drug effects	0.000823042	0.002478218	0.05	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	lysosomes/drug effects	5.10E-09	4.74E-08	0.016666667	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	membrane potential mitochondrial/drug effects	0.00360892	0.008966601	0.064516129	0.682254817	1	1
1-methyl-4-phenyl-1236-tetrahydropyridine	mutation/genetics	0.003369995	0.00669148	0.108910891	0.675762622	1	3
1-methyl-4-phenyl-1236-tetrahydropyridine	necrosis	5.10E-09	4.74E-08	0.016666667	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	neural stem cells/drug effects	0.00118177	0.003391057	0.05	0.684648414	1	0
1-methyl-4-phenyl-1236-tetrahydropyridine	neuroprotective agents/pharmacology	0.002834813	0.006457452	0.071428571	0.6737233	1	2
1-methyl-4-phenyl-1236-tetrahydropyridine	oxidative stress/drug effects	0.003266123	0.007334505	0.071428571	0.6737233	1	2
1-methyl-4-phenyl-1236-tetrahydropyridine	parkinson disease/pathology	0.000122323	0.000331086	0.069306931	0.675762622	1	3
1-methyl-4-phenyl-1236-tetrahydropyridine	small molecule libraries/pharmacology	5.10E-09	4.74E-08	0.016666667	0.684648414	1	0
1-methyl-4-phenylpyridinium/metabolism	SLC6A3	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	antioxidants/pharmacology	1.58E-05	3.59E-05	0.038216561	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	caspase inhibitors/pharmacology	8.02E-07	2.13E-06	0.038216561	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	cytoprotection	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	dopamine plasma membrane transport proteins/metabolism	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	dopaminergic neurons/drug effects	9.99E-16	4.87E-15	0.012738854	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	dose-response relationship drug	0.00386251	0.006286294	0.095541401	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	energy metabolism/drug effects	0	0	0.012738854	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	genes reporter	6.22E-15	2.92E-14	0.012738854	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	iron chelating agents/pharmacology	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	oxidative stress/drug effects	0.000124192	0.000249787	0.057324841	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	protein kinase inhibitors/pharmacology	2.58E-13	1.11E-12	0.012738854	0.704306703	1	4
1-methyl-4-phenylpyridinium/metabolism	uncoupling agents/pharmacology	9.99E-16	4.87E-15	0.012738854	0.704306703	1	4
1-methyl-4-phenylpyridinium/toxicity	CA2	5.45E-12	2.14E-11	0.01910828	0.704306703	1	4
1-methyl-4-phenylpyridinium/toxicity	calcium/metabolism	5.70E-05	0.000120985	0.057324841	0.704306703	1	4
1-methyl-4-phenylpyridinium/toxicity	calpain/drug effects	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenylpyridinium/toxicity	caspases/drug effects	3.37E-11	1.28E-10	0.025477707	0.704306703	1	4
1-methyl-4-phenylpyridinium/toxicity	chromatin/drug effects	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenylpyridinium/toxicity	exocytosis/drug effects	0	0	0.006369427	0.704306703	1	4
1-methyl-4-phenylpyridinium/toxicity	intracellular membranes/drug effects	1.14E-12	4.64E-12	0.01910828	0.704306703	1	4
